kdrama_id,kdrama_name,recommended_title,recommended_id
591ece7671704aa3be9f2055fdbcfe92,The Gentlemen of Wolgyesu Tailor Shop,Still Loving You,b9a8af64951a44f4a0bd5dbd9c6448b6
f6e349eeb01d452a945f8ba4d96dd255,Blow Breeze,It's Beautiful Now,817c9e7c3d274c95988e98bf623c3103
f6e349eeb01d452a945f8ba4d96dd255,Blow Breeze,King2Hearts,
f6e349eeb01d452a945f8ba4d96dd255,Blow Breeze,Young Lady and Gentleman,8de57ce4c47040ef82252f6bc3987439
1c2f67ce165f4f4eaa4bce7edf2e9c0b,Our Gap Soon,Marry Me Now,1d5e88a5b4794a6d99f9279ccfaec791
1c2f67ce165f4f4eaa4bce7edf2e9c0b,Our Gap Soon,Can We Get Married?,
1c2f67ce165f4f4eaa4bce7edf2e9c0b,Our Gap Soon,"Father, I’ll Take Care of You",efa19999db1143dc93a6786c2ee813a0
876f2a18e3944d4290bb24fcfb554b63,Jealousy Incarnate,The Greatest Love,
876f2a18e3944d4290bb24fcfb554b63,Jealousy Incarnate,Fight for My Way,963f91241c094c4e9670f3d094066e20
876f2a18e3944d4290bb24fcfb554b63,Jealousy Incarnate,The Master's Sun,
876f2a18e3944d4290bb24fcfb554b63,Jealousy Incarnate,Oh My Ghost,c7724637897d4e4d86c5c9db69b27ad0
876f2a18e3944d4290bb24fcfb554b63,Jealousy Incarnate,Pasta,
876f2a18e3944d4290bb24fcfb554b63,Jealousy Incarnate,Another Miss Oh,05f0727edfd3475f8e9e97c89617fa88
8085d843ffd04ffb8ecb2bd17ecee862,Youth Syndrome,No Recommendation,
684d79148a064fc3b8e40cebc62a9ff4,Love in the Moonlight,Splash Splash LOVE,
684d79148a064fc3b8e40cebc62a9ff4,Love in the Moonlight,Lovers of the Red Sky,b27d22a8e87b4749a532a276d1b3d196
684d79148a064fc3b8e40cebc62a9ff4,Love in the Moonlight,The Tale of Nokdu,ad7df1699aff49029980b91315fcd211
684d79148a064fc3b8e40cebc62a9ff4,Love in the Moonlight,Sungkyunkwan Scandal,
684d79148a064fc3b8e40cebc62a9ff4,Love in the Moonlight,Coffee Prince,
684d79148a064fc3b8e40cebc62a9ff4,Love in the Moonlight,Moon Embracing the Sun,
168eea9ee61940e39cdaa4c9e811d4f3,Detective Alice 2,No Recommendation,
d6979ca7b6114b76a6beb5267d702179,Cinderella and the Four Knights,Atashinchi no Danshi,
d6979ca7b6114b76a6beb5267d702179,Cinderella and the Four Knights,Boys Over Flowers,
d6979ca7b6114b76a6beb5267d702179,Cinderella and the Four Knights,You're Beautiful,
d6979ca7b6114b76a6beb5267d702179,Cinderella and the Four Knights,Suki na Hito ga Iru Koto,
d6979ca7b6114b76a6beb5267d702179,Cinderella and the Four Knights,Yamato Nadeshiko Shichi Henge,
d6979ca7b6114b76a6beb5267d702179,Cinderella and the Four Knights,Flower Boy Ramen Shop,
04b0e3df830748dc8a602d53a9ea23d0,Matching! Boys Archery,VIP Gymnasium,
04b0e3df830748dc8a602d53a9ea23d0,Matching! Boys Archery,The Prince of Tennis,
04b0e3df830748dc8a602d53a9ea23d0,Matching! Boys Archery,Love for a Thousand More,5b398b0343a34c098fbcede7a39d8f5b
04b0e3df830748dc8a602d53a9ea23d0,Matching! Boys Archery,Project S: Shoot! I Love You,
8e3768de14b243b39a4d44a4aaa963ca,Welcome to My Lab Season 2,No Recommendation,
8e938445e4624bc29792ef01beba7f17,Banana Actually 2,Banana Actually,8b3cc6e1d4f9413782d4bb55184aad0e
763ad7afe7834229840ba31a84f7847f,Romantic Boss,No Recommendation,
6d8bfe21fcf04dac908b8a5da975e4a1,Second to Last Love,A Gentleman's Dignity,
6d8bfe21fcf04dac908b8a5da975e4a1,Second to Last Love,Twenty Again,e067d4c2efdc43028a0410cc23c6e8eb
6d8bfe21fcf04dac908b8a5da975e4a1,Second to Last Love,Saigo Kara Nibanme no Koi,
f64d55da67774b8ebc8ae22b29bcb88d,Women at a Game Company,Search: WWW,530f7a3787d7479d886d2fcc0f910a52
eb770e472b974d1ab9eb4474e6a1e0bc,Spark,"I Hate You, Juliet!",f9cd595f8cdd49ecbb247199cce5e8d1
eb770e472b974d1ab9eb4474e6a1e0bc,Spark,My Only Love Song,7009c4625f1b4239a0669b2a3d857d28
6899c9f98868443e93e64f6dabef8e44,Age of Youth,Because This Is My First Life,02e979cb3e9346a2a6d182caff67c6ea
6899c9f98868443e93e64f6dabef8e44,Age of Youth,Youth,
6899c9f98868443e93e64f6dabef8e44,Age of Youth,Eulachacha Waikiki,4a4420d05e1247cbab32c425af7f02ce
6899c9f98868443e93e64f6dabef8e44,Age of Youth,Weightlifting Fairy Kim Bok Joo,1e6166835671493b8f361163f64997d0
6899c9f98868443e93e64f6dabef8e44,Age of Youth,Age of Youth Season 2,42ec0eb15bb543a7b9307dc22786120a
6899c9f98868443e93e64f6dabef8e44,Age of Youth,Fight for My Way,963f91241c094c4e9670f3d094066e20
6579df6d65fd47438ad968f14753e6ae,Tong: Memories,Gangster High,
6579df6d65fd47438ad968f14753e6ae,Tong: Memories,Dokgo Rewind,d9c9e122b7c243d2b433875eb9ace8f8
6579df6d65fd47438ad968f14753e6ae,Tong: Memories,Boys Be!,
6579df6d65fd47438ad968f14753e6ae,Tong: Memories,Weak Hero Class 1,204b00ef75ab42e18d0a385146394e3a
6579df6d65fd47438ad968f14753e6ae,Tong: Memories,Bullies,
43ae0e3e25194af9b014491ddc311456,W,Extraordinary You,8dfb17ba9eaf4ca2b1bab6e61166d3e2
43ae0e3e25194af9b014491ddc311456,W,Memories of the Alhambra,0850bcaa25a54e6f984aeb38a9cddb7f
43ae0e3e25194af9b014491ddc311456,W,While You Were Sleeping,abe351071d93444f8c32d0d81c81d12f
43ae0e3e25194af9b014491ddc311456,W,Lost Romance,
43ae0e3e25194af9b014491ddc311456,W,Queen In Hyun's Man,
43ae0e3e25194af9b014491ddc311456,W,The Romance of Tiger and Rose,
29259226703e4a54b9f5c147f4f0dbca,"Reply Pyeongchang, 100°F",No Recommendation,
0fb4d159a9c8452e9e1786aa254ac8a0,Horror Delivery Service,Persona,709ea84c35c546dca63bb1f38799ac02
0fb4d159a9c8452e9e1786aa254ac8a0,Horror Delivery Service,Midnight Horror: Six Nights,8fc538cad556484cb3991593b4de5130
0fb4d159a9c8452e9e1786aa254ac8a0,Horror Delivery Service,Horror Monday,fbcda44768424bb3bd39a32da97811c8
ec6f8f9b2d714ddc936ba3629458fb2a,Magic Cell Phone,No Recommendation,
b9e467252703479aa6141d9c79b3be46,"Bring It On, Ghost",Oh My Ghost,c7724637897d4e4d86c5c9db69b27ad0
b9e467252703479aa6141d9c79b3be46,"Bring It On, Ghost",The Master's Sun,
b9e467252703479aa6141d9c79b3be46,"Bring It On, Ghost",The Uncanny Counter,1451ba78193e4698baa2f1c448e57fa6
b9e467252703479aa6141d9c79b3be46,"Bring It On, Ghost",Hotel del Luna,789d1bb521d74eab961005a28603a39b
b9e467252703479aa6141d9c79b3be46,"Bring It On, Ghost",Delivery Man,2b7d38ace2f34aa5a3d9cf527a2895ec
b9e467252703479aa6141d9c79b3be46,"Bring It On, Ghost","From Now On, Showtime!",f55d966b26c6459fb35d1f1c41a16c66
6b0354b08a734999a1ff434b029db2f5,The Good Wife,Misty,0b853ae3ec764d24b365e55a0959cb85
6b0354b08a734999a1ff434b029db2f5,The Good Wife,The World of the Married,2da0f1cc07634caea466cecc63fa60af
6b0354b08a734999a1ff434b029db2f5,The Good Wife,Mistress,e089fb738e5a469f8c38d69de5f43d37
6b0354b08a734999a1ff434b029db2f5,The Good Wife,Garasu no Ie,
6b0354b08a734999a1ff434b029db2f5,The Good Wife,The Good Wife,6b0354b08a734999a1ff434b029db2f5
6b0354b08a734999a1ff434b029db2f5,The Good Wife,Defendant,026929b5d8764669813da22254fc7255
9f1d85d120b8437583890b40e280ab28,Uncontrollably Fond,Doom at Your Service,4717625475374118818cfffa38a03aea
9f1d85d120b8437583890b40e280ab28,Uncontrollably Fond,Come and Hug Me,1f9904963e04407098372fd2b0f6b1c0
9f1d85d120b8437583890b40e280ab28,Uncontrollably Fond,Just Between Lovers,d6f69cf509f04e5ba059cb918249b8ef
9f1d85d120b8437583890b40e280ab28,Uncontrollably Fond,More than Blue: The Series,
9f1d85d120b8437583890b40e280ab28,Uncontrollably Fond,Chocolate,584d1ef7b78f40f3a1344bac23222aa7
9f1d85d120b8437583890b40e280ab28,Uncontrollably Fond,Time,79adb8ed7bb84fb88f29715908c8aaa9
92284fd256e94a328b5aff80dc966556,Touching You,Tomorrow With You,b445201ea9c64d36a402e4c92ee48810
92284fd256e94a328b5aff80dc966556,Touching You,He Is Psychometric,1ccd5826f5214b538c662de72385d9fe
92284fd256e94a328b5aff80dc966556,Touching You,Aftermath,
92284fd256e94a328b5aff80dc966556,Touching You,Memorist,55db777c2612478eae9f3051fada16a8
92284fd256e94a328b5aff80dc966556,Touching You,While You Were Sleeping,abe351071d93444f8c32d0d81c81d12f
92284fd256e94a328b5aff80dc966556,Touching You,The Game: Towards Zero,6fcf25942e634ba7a4f571d257c8b9ce
7a67b20757a94827af468a2d9d21e660,Go Ho's Starry Night,Introverted Boss,4e2a188cc4944d96bcd66e50b73ab476
7a67b20757a94827af468a2d9d21e660,Go Ho's Starry Night,Wednesday 3:30 PM,4ffeb5b8a6ab4b578ad92b28c55d7f2d
